response,context/0,context/1,context/2,context/3,context/4
Where are those transmissions youintercepted?,The Death Star plans are not in the main computer.,"Wait a minute, where are you going?",They're heading in this direction.What are we going to do? We'll besent to the spice mine of Kessel orsmashed into who knows what!,At last! Where have you been?,"Artoo! Artoo-Detoo, where are you?"
What have you done with thoseplans?,Where are those transmissions youintercepted?,The Death Star plans are not in the main computer.,"Wait a minute, where are you going?",They're heading in this direction.What are we going to do? We'll besent to the spice mine of Kessel orsmashed into who knows what!,At last! Where have you been?
If this is a consular ship... were is the Ambassador?,We intercepted no transmissions.Aaah... This is a consular ship.Were on a diplomatic mission.,What have you done with thoseplans?,Where are those transmissions youintercepted?,The Death Star plans are not in the main computer.,"Wait a minute, where are you going?"
"Commander, tear this ship apartuntil you've found those plans andbring me the Ambassador. I want heralive!",If this is a consular ship... were is the Ambassador?,We intercepted no transmissions.Aaah... This is a consular ship.Were on a diplomatic mission.,What have you done with thoseplans?,Where are those transmissions youintercepted?,The Death Star plans are not in the main computer.
"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.","Lord Vader, I should have known.Only you could be so bold. TheImperial Senate will not sit forthis, when they hear you'veattacked a diplomatic...","I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing...","Don't worry about it, Wormie.","Hey, easy with those...",But there was a lot of firingearlier...
You're a part of the Rebel Alliance... and a traitor. Take her away!,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.","Lord Vader, I should have known.Only you could be so bold. TheImperial Senate will not sit forthis, when they hear you'veattacked a diplomatic...","I keep telling you, the Rebellion is a long way from here. I doubt if the Empire would even fight to keep this system. Believe me Luke, this planet is a big hunk of nothing...","Don't worry about it, Wormie."
I have traced the Rebel spies toher. Now she is my only link tofind their secret base!,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate.",You're a part of the Rebel Alliance... and a traitor. Take her away!,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,"Don't play games with me, Your Highness. You weren't on any mercy mission this time. You passed directly through a restricted system. Several transmissions were beamed to this ship by Rebel spies. I want to know what happened to the plans they sent you.","Lord Vader, I should have known.Only you could be so bold. TheImperial Senate will not sit forthis, when they hear you'veattacked a diplomatic..."
Leave that to me. Send a distresssignal and then inform the senatethat all aboard were killed!,She'll die before she tells youanything.,I have traced the Rebel spies toher. Now she is my only link tofind their secret base!,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate.",You're a part of the Rebel Alliance... and a traitor. Take her away!,I don't know what you're talking about. I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
"She must have hidden the plans in the escape pod. Send a detachment down to retrieve them. See to it personally, Commander. There'll be no one to stop us this time.","Lord Vader, the battle station plans are not aboard this ship! And no transmissions were made. An escape pod was jettisoned during the fighting, but no life forms were aboard.",Leave that to me. Send a distresssignal and then inform the senatethat all aboard were killed!,She'll die before she tells youanything.,I have traced the Rebel spies toher. Now she is my only link tofind their secret base!,"Holding her is dangerous. If word of this gets out, it could generate sympathy for the Rebellion in the senate."
The plans you refer to will soon be back in our hands.,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",The regional governors now have direct control over territories. Fear will keep the local systems in line. Fear of this battle station.,That's impossible! How will theEmperor maintain control withoutthe bureaucracy?,The Imperial Senate will no longer be of any concern to us. I've just received word that the Emperor has dissolved the council permanently. The last remnants of the Old Republic have been swept away.,The Rebellion will continue to gain a support in the Imperial Senate as long as....
Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!",The plans you refer to will soon be back in our hands.,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",The regional governors now have direct control over territories. Fear will keep the local systems in line. Fear of this battle station.,That's impossible! How will theEmperor maintain control withoutthe bureaucracy?
I find your lack of faithdisturbing.,"Don't try to frighten us with your sorcerer's ways, Lord Vader. Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!",The plans you refer to will soon be back in our hands.,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it."
As you wish.,"Enough of this! Vader, release him!",I find your lack of faithdisturbing.,"Don't try to frighten us with your sorcerer's ways, Lord Vader. Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes, or given you clairvoyance enough to find the Rebel's hidden fort...",Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!"
"And, now Your Highness, we will discuss the location of your hidden Rebel base.",Two stormtroopers open an electronic cell door and allow,Imperial TIE fighter races toward the Death Star.,Uncle Owen! Aunt Beru! Uncle Owen!,Luke races across the wasteland in his battered Landspeeder.EXT. TATOOINE - LARS HOMESTEADThe speeder roars up to the burning homestead. Luke jumps,"Wait,Luke! It's too dangerous."
Her resistance to the mind probe is considerable.,Sorry about the mess.,"Yes, I'll bet you have.",That's the idea. I've been looking forward to killing you for a long time.,Over my dead body.,You can tell that to Jabba. He may only take your ship.
It will be some time before we can extract any information from her.,Her resistance to the mind probe is considerable.,Sorry about the mess.,"Yes, I'll bet you have.",That's the idea. I've been looking forward to killing you for a long time.,Over my dead body.
What do you mean?,Perhaps she would respond to analternative form of persuasion.,The final check-out is complete.All systems are operational. Whatcourse shall we set?,It will be some time before we can extract any information from her.,Her resistance to the mind probe is considerable.,Sorry about the mess.
Commence primary ignition.,No!,You're far too trusting. Dantooine is too remote to make an effective demonstration. But don't worry. We will deal with your Rebel friends soon enough.,What?,"There. You see Lord Vader, she can be reasonable.Continue with the operation. Youmay fire when ready.",They're on Dantooine.
I told you she would neverconsciously betray the Rebellion.,She lied! She lied to us!,"Our scout ships have reached Dantooine. They found the remains of a Rebel base, but they estimate that it has been deserted for some time. They are now conducting an extensive search of the surrounding systems.",Yes.,That's good. You have taken yourfirst step into a larger world.,"You know, I did feel something. Icould almost see the remote."
They must be trying to return thestolen plans to the princess. Shemay yet be of some use to us.,Yes.,Close all outboard shields! Closeall outboard shields!,Stormtroopers run to their posts.,To you stations!,Clear Bay twenty-three-seven. We are opening the magnetic
Did you find any droids?,Unlock one-five-seven and nine.Release charges.,They must be trying to return thestolen plans to the princess. Shemay yet be of some use to us.,Yes.,Close all outboard shields! Closeall outboard shields!,Stormtroopers run to their posts.
Send a scanning crew on board. Iwant every part of this shipchecked.,"No, sir. If there were any onboard, they must also havejettisoned.",Did you find any droids?,Unlock one-five-seven and nine.Release charges.,They must be trying to return thestolen plans to the princess. Shemay yet be of some use to us.,Yes.
I sense something... a presence Ihaven't felt since...,"Yes, sir.",Send a scanning crew on board. Iwant every part of this shipchecked.,"No, sir. If there were any onboard, they must also havejettisoned.",Did you find any droids?,Unlock one-five-seven and nine.Release charges.
He is here...,Come on!,Ben Kenobi is here! Where is he?,I'm here to rescue you. I've gotyour R2 unit. I'm here with BenKenobi.,You're who?,What? Oh... the uniform. I'm LukeSkywalker. I'm here to rescue you.
A tremor in the Force. The last time I felt it was in the presence of my old master.,Obi-Wan Kenobi! What makes youthink so?,He is here...,Come on!,Ben Kenobi is here! Where is he?,I'm here to rescue you. I've gotyour R2 unit. I'm here with BenKenobi.
Don't underestimate the power ofthe Force.,Surely he must be dead by now.,A tremor in the Force. The last time I felt it was in the presence of my old master.,Obi-Wan Kenobi! What makes youthink so?,He is here...,Come on!
Obi-Wan is here. The Force is withhim.,The princess! Put all sections onalert!,"Governor Tarkin, we have anemergency alert in detention blockA A-twenty- three.",Yes.,"The Jedi are extinct, their fire has gone out of the universe. You, my friend, are all that's left of their religion.",Don't underestimate the power ofthe Force.
Escape is not his plan. I must face him alone.,"If you're right, he must not beallowed to escape.",Obi-Wan is here. The Force is withhim.,The princess! Put all sections onalert!,"Governor Tarkin, we have anemergency alert in detention blockA A-twenty- three.",Yes.
"I've been waiting for you, Obi-Wan. We meet again, at last. The circle is now complete.",Open the blast doors! Open theblast doors!,Close the blast doors!,Where could they be?,For luck!,Here they come!
"When I left you, I was but thelearner; now I am the master.","I've been waiting for you, Obi-Wan. We meet again, at last. The circle is now complete.",Open the blast doors! Open theblast doors!,Close the blast doors!,Where could they be?,For luck!
"Your powers are weak, old man.","Only a master of evil, Darth.","When I left you, I was but thelearner; now I am the master.","I've been waiting for you, Obi-Wan. We meet again, at last. The circle is now complete.",Open the blast doors! Open theblast doors!,Close the blast doors!
made the jump into,Are they away?,"Darth Vader strides intothe control room, where Tarkin is",The victorious Millennium Falcon moves off majestically,Help! I think I'm melting!,"PASSAGEWAYThreepio lies on the floor of the ship, completely tangled"
This will be a day long remembered. It has seen the end of Kenobi and it will soon see the end of the Rebellion.,Man your ships! And may the Forcebe with you!,It's not impossible. I used to bull's- eye womp rats in my T-sixteen back home. They're not much bigger than two meters.,"That's impossible, even for acomputer.","Only a precise hit will set up achain reaction. The shaft is ray-shielded, so you'll have to useproton torpedoes.","The approach will not be easy. You are required to maneuver straight down this trench and skim the surface to this point. The target area is only two meters wide. It's a small thermal exhaust port, right below the main port. The shaft leads directly to the reactor system. A precise hit will start a chain reaction which should destroy the station."
We'll have to destroy them ship to,"We count thirty Rebel ships, Lord",Walls buckle and cave in. Troops and equipment are blown in,Rebel fighters continue to strafe the Death Star's surface,"I got a little cooked, but I'm",Luke adjusts his controls and breathes a sigh of relief.
Several fighters have broken off,"Darth Vader strides purposefully down a Death Star corridor,",Got him!,"In the foreground, the Imperial fighter races across the","Hang on, Biggs, I'm coming in.","He's on me tight, I can't shakehim... I can't shake him."
Darth Vader calmly adjusts his control stick as the stars whip past in the window above his head.,STARThree Imperial TIE ships inprecise formation dive toward,"I copy, Gold Leader. Move intoposition.","ROOMLeia and the others are grouped around the screen, as technicians move about attending to their duties.",DEATHSTARThree Y-wingfightersof the Gold group dive out of the,This is Gold Leader. We're starting out attack run.
Stay in attack formation!,Darth Vader calmly adjusts his control stick as the stars whip past in the window above his head.,STARThree Imperial TIE ships inprecise formation dive toward,"I copy, Gold Leader. Move intoposition.","ROOMLeia and the others are grouped around the screen, as technicians move about attending to their duties.",DEATHSTARThree Y-wingfightersof the Gold group dive out of the
Darth Vader calmly adjusts his control stick as the stars,"Three Imperial TIE ships, Darth Vader in the center flanked",GOLD LEADERThey've coming in! Three marks at,Stabilize yourread deflectors.Watch for enemy fighters.,FIVE'S COCKPITGold Five looks behind him.,The guns... they've stopped!
I'll take them myself! Cover me!,Darth Vader calmly adjusts his control stick as the stars,"Three Imperial TIE ships, Darth Vader in the center flanked",GOLD LEADERThey've coming in! Three marks at,Stabilize yourread deflectors.Watch for enemy fighters.,FIVE'S COCKPITGold Five looks behind him.
Vader lines up Gold Two in his targeting computer. Vader's,Three TIE fighters zoom across the surface of the Death,I'll take them myself! Cover me!,Darth Vader calmly adjusts his control stick as the stars,"Three Imperial TIE ships, Darth Vader in the center flanked",GOLD LEADERThey've coming in! Three marks at
Vader calmly adjusts his targeting computer and pushes the,Loosen up!,- COCKPIT,Stay on target!,COCKPITThe older pilot remains calm.,We're too close.
Vader adjusts his control lever and dives on the X-wing,Just hold them off for a few,RED LEADERTarget's coming up!,Red Leader's X-wing moves up the Death Star trench.,I'm in range.,Red Leader pulls his targeting device in front of his eyes
Close up formation.,Vader adjusts his control lever and dives on the X-wing,Just hold them off for a few,RED LEADERTarget's coming up!,Red Leader's X-wing moves up the Death Star trench.,I'm in range.
Vader rapidly approaches the two X-wings of Red Ten and Red,Vader and his wingmen zoom down the trench.,Red Leader lines up his target on the targeting device cross,The three TIE fighters move in formation across the Death,Close up formation.,Vader adjusts his control lever and dives on the X-wing
"Vader cooly pushes the fire button on his control stick.INT. RED TEN'S COCKPITDarth Vader's well-aimed laserfire proves to be unavoidable,",Vader and his wingmen whip through the trench in pursuit of,I can't hold them!,Red Ten panics.,Almost there!,"Red Ten works at his controls furiously, trying to avoid"
Vader swings his ship around forthe next kill.,DEATH STAR- TIE FIGHTER,Negative! It didn't go in. It just impacted on the surface.,Negative.,It's a hit!,Leia and the others stare at the computer screen.
Vader adjusts his controls and fires laserbolts at two X-,Vader and his wingmen zoom closer.,Luke's targeting device marks off the distance to the,Wedge looks up and sees the TIE ships.,Two laser cannons are firing on the Rebel fighters.,Artoo works to repair the damages. The canyon wall rushes by
Let him go! Stay on the leader!,Wedge pulls his crippled X-wing back away from the battle.INT. DARTH VADER'S COCKPITVader watches the escape but issues a command to his,WEDGESorry!,LUKEYou can't do any more good back,Leia and the others are grouped around the computer board.,Vader adjusts his controls and fires laserbolts at two X-
Vader adjusts his control stick.,"Stealthily, the TIE formation creeps closer.","Ignoring the bumpy ride, flak, and lasers, a beeping Artoo-","Artoo, try and increase the power!",Luke looks back anxiously at little Artoo.,"The three TIE fighters move ever closer, closing in on Luke"
Vader squeezes the fire button on his controls.,Wait!,Biggs sees the TIE fighter aiming at him.,Vader and his wingmen race through the Death Star trench.,Luke looks into his targeting device. He moves it away for a,Biggs looks around at the TIE fighters.
Vader takes aim on Luke and talks to the wingmen.,"STAR INTERCOM VOICERebel base, thirty seconds and",ROOMGrand Moff Tarkin watchesthe projected target screen with,"Luke is stunned by Biggs'death. His eyes are watering, but",Leia and the others stareat the computer board.,"Biggs' cockpit explodes around him, lighting him in red.EXT. SURFACE OF THE DEATHSTARBiggs' ship bursts into amillion flaming bits and scatters"
I'm on the leader.,Vader takes aim on Luke and talks to the wingmen.,"STAR INTERCOM VOICERebel base, thirty seconds and",ROOMGrand Moff Tarkin watchesthe projected target screen with,"Luke is stunned by Biggs'death. His eyes are watering, but",Leia and the others stareat the computer board.
VADERThe Force is strong with this one!,Luke's fighter streaks through the trench.,"Let go, Luke.","Luke looks up, then starts to look back into the targeting",The Death Star trench zooms by.,"Use the Force, Luke."
Vader maneuvers his controls as he looks at his doomed,"The three TIE fighters, mannedby Vader and his two wingmen,","Luke's ship streaks ever closeto the exhaust port.INT. LUKE'S X-WING - COCKPITLuke looks at the Death Star surface streaking by.EXT. LUKE'S X-WING FIGHTERArtoo-Detoo turns his head from side to side, beeping in",Nothing. I'm all right.,"His computer's off. Luke, youswitched off your targetingcomputer. What's wrong?","Luke, trust me."
"Vader adjusts his control sticks, checking his projected",Luke looks anxiously at the exhaust port.,The three TIE fighters zoom down the Death Star trench in,Commence primary ignition.,You may fire when ready.,"Rebel base, in range."
Vader's targeting computer swings around into position.,Luke's ship barrels down the trench.,"Vader adjusts his control sticks, checking his projected",Luke looks anxiously at the exhaust port.,The three TIE fighters zoom down the Death Star trench in,Commence primary ignition.
I have you now.,Vader's targeting computer swings around into position.,Luke's ship barrels down the trench.,"Vader adjusts his control sticks, checking his projected",Luke looks anxiously at the exhaust port.,The three TIE fighters zoom down the Death Star trench in
"Vader is taken by surprise, and looks out from his cockpit.","Luke looks about, wondering whose laserfire destroyed",The three TIE fighters move in on Luke. As Vader's center,I have you now.,Vader's targeting computer swings around into position.,Luke's ship barrels down the trench.
What?,"Vader is taken by surprise, and looks out from his cockpit.","Luke looks about, wondering whose laserfire destroyed",The three TIE fighters move in on Luke. As Vader's center,I have you now.,Vader's targeting computer swings around into position.
Vader turns round and roundin circles as his ship spins,"STARVader's ship spins out of control with a bent solar fin,",Look out!,Yahoo!,Han and Chewbacca grin from ear to ear.,Vader's wingman searches around him trying to locate the
Vader's ship spins off into space.,"Remember, the Force will be with","Luke is at ease, and his eyes are closed.","HANGreat shot, kid. That was one in a","The Rebel ships race out of sight, leaving the moon-like",Standing by.
You found something?,"But, sir, the Hoth system issupposed to be devoid of humanforms.",It could mean anything.If wefollowed every lead...,The visuals indicate life readings.,"I think we've got something, sir. The report is only a fragment from a probe droid in the Hoth system, but it's the best lead we've had.","Yes, Captain"
 studying the image onthe console screen That's it.The Rebels are there.,"Yes, my lord.",You found something?,"But, sir, the Hoth system issupposed to be devoid of humanforms.",It could mean anything.If wefollowed every lead...,The visuals indicate life readings.
"That is the system. And I'm sure Skywalker is with them. Set your course for the Hoth system. General Veers, prepare you men.","My lord, there are so many uncharted settlements. It could be smugglers, it could be...", studying the image onthe console screen That's it.The Rebels are there.,"Yes, my lord.",You found something?,"But, sir, the Hoth system issupposed to be devoid of humanforms."
"What is it, General?",Reroute all power to the energyshield.We've got to hold themtill all transports are away.Prepare for ground assault.,"General, there's a fleet of Star Destroyers coming out of hyperspace in sector four.","You, too.",Be careful.,Yeah.
The Rebels are alerted to ourpresence.Admiral Ozzel came outof light-speed too close to thesystem.,"My lord, the fleet has moves out of light-speed. Com-Scan has detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.","What is it, General?",Reroute all power to the energyshield.We've got to hold themtill all transports are away.Prepare for ground assault.,"General, there's a fleet of Star Destroyers coming out of hyperspace in sector four.","You, too."
"He is as clumsy as he is stupid. General, prepare your troops for a surface attack.",He felt surprise was wiser...,The Rebels are alerted to ourpresence.Admiral Ozzel came outof light-speed too close to thesystem.,"My lord, the fleet has moves out of light-speed. Com-Scan has detected an energy field protecting an area around the sixth planet of the Hoth system. The field is strong enough to deflect any bombardment.","What is it, General?",Reroute all power to the energyshield.We've got to hold themtill all transports are away.Prepare for ground assault.
"You have failed me for the lasttime, Admiral.Captain Piett.","Lord Vader, the fleet has moved out of light-speed, and we're preparing to... Aaagh!","Yes, my lord.","He is as clumsy as he is stupid. General, prepare your troops for a surface attack.",He felt surprise was wiser...,The Rebels are alerted to ourpresence.Admiral Ozzel came outof light-speed too close to thesystem.
"Make ready to land out troops beyond the energy shield and deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett.","Yes, my lord.","You have failed me for the lasttime, Admiral.Captain Piett.","Lord Vader, the fleet has moved out of light-speed, and we're preparing to... Aaagh!","Yes, my lord.","He is as clumsy as he is stupid. General, prepare your troops for a surface attack."
"Yes, Admiral?","If you're saying coming here was a bad idea, I'm beginning to agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy.","Oh, no!Are you all right?Comeon.You're lucky you don't tastevery good.Anything broken?",Artoo!,Artoo - that way!,Artoo!You be more careful.
"Asteroids do not concern me,Admiral.I want that ship and notexcuses.","Our ships have sighted the Millennium Falcon, lord. But... it has entered an asteroid field and we cannot risk...","Yes, Admiral?","If you're saying coming here was a bad idea, I'm beginning to agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy.","Oh, no!Are you all right?Comeon.You're lucky you don't tastevery good.Anything broken?",Artoo!
"No, Captain, they're alive. I want every ship available to sweep the asteroid field until they are found.","Oh, you're perfectly welcome, sir.",Thank you.Thank you very much.,"Sir, sir!I've isolated thereverse power flux coupling.","No, you're not.You're...",I'm a nice man.
