response,context/0,context/1,context/2,context/3,context/4
"Yes, Admiral, what is it?",Lord Vader.,"No, Captain, they're alive. I want every ship available to sweep the asteroid field until they are found.","Oh, you're perfectly welcome, sir.",Thank you.Thank you very much.,"Sir, sir!I've isolated thereverse power flux coupling."
Move the ship out of the asteroidfield so that we can send a cleartransmission.,The Emperor commands you makecontact with him.,"Yes, Admiral, what is it?",Lord Vader.,"No, Captain, they're alive. I want every ship available to sweep the asteroid field until they are found.","Oh, you're perfectly welcome, sir."
"What is thy bidding, my master?","Yes, my lord.",Move the ship out of the asteroidfield so that we can send a cleartransmission.,The Emperor commands you makecontact with him.,"Yes, Admiral, what is it?",Lord Vader.
I have felt it.,There is a great disturbance in theForce.,"What is thy bidding, my master?","Yes, my lord.",Move the ship out of the asteroidfield so that we can send a cleartransmission.,The Emperor commands you makecontact with him.
"Yes, my master.",We have a new enemy - LukeSkywalker.,I have felt it.,There is a great disturbance in theForce.,"What is thy bidding, my master?","Yes, my lord."
He's just a boy.Obi-Wan can nolonger help him.,He could destroy us.,"Yes, my master.",We have a new enemy - LukeSkywalker.,I have felt it.,There is a great disturbance in theForce.
"If he could be turned, he wouldbecome a powerful ally.",The Force is strong with him. The son of Skywalker must not become a Jedi.,He's just a boy.Obi-Wan can nolonger help him.,He could destroy us.,"Yes, my master.",We have a new enemy - LukeSkywalker.
"He will join us or die, my master.",Yes.Yes.He would be a greatasset.Can it be done?,"If he could be turned, he wouldbecome a powerful ally.",The Force is strong with him. The son of Skywalker must not become a Jedi.,He's just a boy.Obi-Wan can nolonger help him.,He could destroy us.
"... there will be a substantial reward for the one who finds the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations.",Right.,"Sir, we have a priority signal from the Star Destroyer Avenger.",Those Rebels won't escape us.,"Yes, sir.",Bounty hunters. We don't need that scum.
"Apology accepted, Captain Needa.",That is why you fail.,I don't... I don't believe it.,You want the impossible.,"And well you should not. For my ally in the Force. And a powerful ally it is. Life creates it, makes it grow. Its energy surrounds us and binds us. Luminous beings are we... Yoda pinches Luke'sshoulder ... not this crude matter.You must feel the Force around you.Here, between you... me... thetree... the rock... everywhere!Yes, even between this land andthat ship!","Size matters not.Look at me.Judge me by my size, do you? Hm?Mmmm."
Alert all commands.Calculateevery possible destination alongtheir last know trajectory.,"Lord Vader, our ships have completed their scan of the area and found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now.","Apology accepted, Captain Needa.",That is why you fail.,I don't... I don't believe it.,You want the impossible.
"Don't fail me again, Admiral.","Yes, my lord.We'll find them.",Alert all commands.Calculateevery possible destination alongtheir last know trajectory.,"Lord Vader, our ships have completed their scan of the area and found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now.","Apology accepted, Captain Needa.",That is why you fail.
We would be honored if you wouldjoin us.,That's always been a danger looming like a shadow over everything we've built here. But things have developed that will insure security. I've just made a deal that will keep the Empire out of here forever.,Aren't you afraid the Empire's going to find out about this little operation and shut you down?,"No, not actually. Our operation is small enough not to be noticed...",So you're part of the mining guild then?,"So you see, since we're a smalloperation, we don't fall intothe... uh... jurisdiction of theEmpire."
He will not be permanently damaged.,He's no good to me dead.,Lord Vader.,"Stormtroopers?Here?We're indanger.I must tell the others.Oh, no!I've been shot!","Mmmm.Oh, my.Uh, I, uh - Takethis off!I, uh, don't mean tointrude here.I, don't, no, no,no... Please don't get up.No!",Just hang on.We're almost there.
They must never again leave thiscity.,"Lord Vader, what about Leia and theWookiee?",He will not be permanently damaged.,He's no good to me dead.,Lord Vader.,"Stormtroopers?Here?We're indanger.I must tell the others.Oh, no!I've been shot!"
Perhaps you think you're beingtreated unfairly.,"That was never a condition of ouragreement, nor was giving Han tothis bounty hunter!",They must never again leave thiscity.,"Lord Vader, what about Leia and theWookiee?",He will not be permanently damaged.,He's no good to me dead.
Good. It would be unfortunate if I had to leave a garrison here.,No.,Perhaps you think you're beingtreated unfairly.,"That was never a condition of ouragreement, nor was giving Han tothis bounty hunter!",They must never again leave thiscity.,"Lord Vader, what about Leia and theWookiee?"
"This facility is crude, but itshould be adequate to freezeSkywalker for his journey to theEmperor.",You certainly have a way withpeople.,"Yeah, you're a real hero.","Stop!I've done all I can.I'msorry I couldn't do better, but Ihave my own problems.","Perfect.You fixed us all prettygood, didn't you?My friend!","Well, he's on his way."
Good. Monitor Skywalker and allow him to land.,"Lord Vader, ship approaching. X-wing class.","This facility is crude, but itshould be adequate to freezeSkywalker for his journey to theEmperor.",You certainly have a way withpeople.,"Yeah, you're a real hero.","Stop!I've done all I can.I'msorry I couldn't do better, but Ihave my own problems."
I do not want the Emperor's prizedamaged.We will test it... onCaptain Solo.,"Lord Vader, we only use this facility for carbon freezing. If you put him in there, it might kill him.",Good. Monitor Skywalker and allow him to land.,"Lord Vader, ship approaching. X-wing class.","This facility is crude, but itshould be adequate to freezeSkywalker for his journey to theEmperor.",You certainly have a way withpeople.
The Empire will compensate you if he dies. Put him in!,What if he doesn't survive? He's worth a lot to me.,You're being put into carbonfreeze.,What's going on... buddy?,"If only you had attached my legs, I wouldn't be in this ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish.",I do not want the Emperor's prizedamaged.We will test it... onCaptain Solo.
"Well, Calrissian, did he survive?","What... what's going on? Turn round, Chewbacca, I can't see. Oh... they've encased him in carbonite. He should be quite well-protected - if he survives the freezing process, that is.",I know.,I love you!,Save your strength. There'll be another time. The princess - you have to take care of her. You hear me?,"Chewie!Chewie, this won't helpme.Hey!"
He's all yours bounty hunter. Reset the chamber for Skywalker.,"Yes, he's alive.And in perfecthibernation.","Well, Calrissian, did he survive?","What... what's going on? Turn round, Chewbacca, I can't see. Oh... they've encased him in carbonite. He should be quite well-protected - if he survives the freezing process, that is.",I know.,I love you!
"Good. See to it that he finds his way here. Calrissian, take the princess and the Wookiee to my ship.","Skywalker has just landed, my lord.",He's all yours bounty hunter. Reset the chamber for Skywalker.,"Yes, he's alive.And in perfecthibernation.","Well, Calrissian, did he survive?","What... what's going on? Turn round, Chewbacca, I can't see. Oh... they've encased him in carbonite. He should be quite well-protected - if he survives the freezing process, that is."
I am altering the deal.Pray Idon't alter it any further.,You said they'd be left in the city under my supervision.,"Good. See to it that he finds his way here. Calrissian, take the princess and the Wookiee to my ship.","Skywalker has just landed, my lord.",He's all yours bounty hunter. Reset the chamber for Skywalker.,"Yes, he's alive.And in perfecthibernation."
"The Force is with you, young Skywalker. But you are not a Jedi yet.","CARBON-FREEZING CHAMBERLuke rises into the chamber, borne by the platform. The room is deathly quiet. Very little steam escapes the pipes and no one else seems to be in the large room. Warily, Luke walks toward the stairway.",CARBON-FREEZING CHAMBER - ANTEROOMLuke cautiously walks forward among hissing pipes and steam.,HALLWAY LEADING TO ANTEROOMArtoo stands withhis nose pressed against the giant metal,"Luke!Luke, don't - it's a trap!It's a trap!",I am altering the deal.Pray Idon't alter it any further.
"You have learned much, young one.","Oh, no!Chewie, they're behindyou!","Well, at least your still in onepiece!Look what happened to me!","Turn around, you wooly...!Hurry, hurry! We're trying to save Han from the bounty hunter!",Artoo!Artoo!Where have youbeen?,Put Captain Solo in the cargo hold.
"Your destiny lies with me, Skywalker. Obi-Wan knew this to be true.",You'll find I'm full of surprises.,"You have learned much, young one.","Oh, no!Chewie, they're behindyou!","Well, at least your still in onepiece!Look what happened to me!","Turn around, you wooly...!Hurry, hurry! We're trying to save Han from the bounty hunter!"
All to easy. Perhaps you are not as strong as the Emperor thought.,No!,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be true.",You'll find I'm full of surprises.,"You have learned much, young one.","Oh, no!Chewie, they're behindyou!"
Impressive... most impressive.,All to easy. Perhaps you are not as strong as the Emperor thought.,No!,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be true.",You'll find I'm full of surprises.,"You have learned much, young one."
Obi-Wan has taught you well.Youhave controlled your fear... nowrelease your anger.,Impressive... most impressive.,All to easy. Perhaps you are not as strong as the Emperor thought.,No!,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be true.",You'll find I'm full of surprises.
Only your hatred can destroy me.,Obi-Wan has taught you well.Youhave controlled your fear... nowrelease your anger.,Impressive... most impressive.,All to easy. Perhaps you are not as strong as the Emperor thought.,No!,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be true."
You are beaten.It is useless toresist.Don't let yourself bedestroyed as Obi-Wan did.,LANDINGPLATFORM - DUSKThe Millennium Falcon lifts gracefully into the twilight sky and roars away from the city. Troops fire after it and TIE fighters take off in pursuit.,-COCKPITChewie works the controlsas Leia sits in Han's seatand,"I thought that hairy beast would be the end of me. Of course, I've looked better.",Leia!Go!,"Ouch!Oh!Ah!That hurt.Benddown, you thoughtless... Ow!"
"There is no escape. Don't make me destroy you. You do not yet realize your importance. You have only begun to discover your power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy.",You are beaten.It is useless toresist.Don't let yourself bedestroyed as Obi-Wan did.,LANDINGPLATFORM - DUSKThe Millennium Falcon lifts gracefully into the twilight sky and roars away from the city. Troops fire after it and TIE fighters take off in pursuit.,-COCKPITChewie works the controlsas Leia sits in Han's seatand,"I thought that hairy beast would be the end of me. Of course, I've looked better.",Leia!Go!
If you only knew the power of the dark side. Obi-Wan never told you what happened to your father.,I'll never join you!,"There is no escape. Don't make me destroy you. You do not yet realize your importance. You have only begun to discover your power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy.",You are beaten.It is useless toresist.Don't let yourself bedestroyed as Obi-Wan did.,LANDINGPLATFORM - DUSKThe Millennium Falcon lifts gracefully into the twilight sky and roars away from the city. Troops fire after it and TIE fighters take off in pursuit.,-COCKPITChewie works the controlsas Leia sits in Han's seatand
No.I am your father.,He told me enough! It was you who killed him.,If you only knew the power of the dark side. Obi-Wan never told you what happened to your father.,I'll never join you!,"There is no escape. Don't make me destroy you. You do not yet realize your importance. You have only begun to discover your power. Join me and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy.",You are beaten.It is useless toresist.Don't let yourself bedestroyed as Obi-Wan did.
Search your feelings. You know it to be true.,No.No.That's not true! That'simpossible!,No.I am your father.,He told me enough! It was you who killed him.,If you only knew the power of the dark side. Obi-Wan never told you what happened to your father.,I'll never join you!
"Luke. You can destroy the Emperor. He has foreseen this. It is your destiny. Join me, and together we can rule the galaxy as father and son. Come with me. It is the only way.",No!No!No!,Search your feelings. You know it to be true.,No.No.That's not true! That'simpossible!,No.I am your father.,He told me enough! It was you who killed him.
Bring my shuttle.,Vader enters the landing platform and watches as the speck,"All right, all right, all right.",But what about Vader?,"Chewie, just do it.",But what about those fighter?
Did your men deactivate thehyperdrive on the MillenniumFalcon?,"They'll be in range of our tractor beam in moments, my lord.",They told me they fixed it.Itrusted them to fix it.It's notmy fault!,Punch it!,All the coordinates are set. It'snow or never.,If your people fixed thehyperdrive.
Good.Prepare the boarding partyand set your weapons for stun.,"Yes, my lord.",Did your men deactivate thehyperdrive on the MillenniumFalcon?,"They'll be in range of our tractor beam in moments, my lord.",They told me they fixed it.Itrusted them to fix it.It's notmy fault!,Punch it!
"Vader stands on the bridge, watching as the Millennium","FALCON - COCKPITLeia and Lando,seated in front of the control panel, are","The city's central computer told you? Artoo-Detoo, you know better than to trust a strange computer. Ouch! Pay attention to what you're doing!",We can't?How would you know thehyperdrive is deactivated?,Noisy brute. Why don't we just go into light-speed?,"Yes, my lord."
"INT. MILLENNIUM FALCON - SLEEPING QUARTERSLuke realizes that Vader's ship is very near. He feels resigned to his fate. He senses that he is beaten, more emotionally than physically.","Vader stands on the bridge, watching as the Millennium","FALCON - COCKPITLeia and Lando,seated in front of the control panel, are","The city's central computer told you? Artoo-Detoo, you know better than to trust a strange computer. Ouch! Pay attention to what you're doing!",We can't?How would you know thehyperdrive is deactivated?,Noisy brute. Why don't we just go into light-speed?
VADERme.,Father.,"INT. MILLENNIUM FALCON - SLEEPING QUARTERSLuke realizes that Vader's ship is very near. He feels resigned to his fate. He senses that he is beaten, more emotionally than physically.","Vader stands on the bridge, watching as the Millennium","FALCON - COCKPITLeia and Lando,seated in front of the control panel, are","The city's central computer told you? Artoo-Detoo, you know better than to trust a strange computer. Ouch! Pay attention to what you're doing!"
VADERLuke... it is your destiny.,It's Vader.,The Falcon races through space followed very closely by the,"COCKPITLando and Leia are at the controls of the Falcon. Meanwhile, in the ship's hold, Chewie continues to work frantically on the hyperdrive mechanism.",SLEEPING QUARTERSLUKE,VADERme.
PIETTAlert all commands.  Ready for the,"LUKEBen, why didn't you tell me?",VADERLuke... it is your destiny.,It's Vader.,The Falcon races through space followed very closely by the,"COCKPITLando and Leia are at the controls of the Falcon. Meanwhile, in the ship's hold, Chewie continues to work frantically on the hyperdrive mechanism."
Admiral Piett and another captain glance at Vader in terror.,The Falcon soars into infinity and away from the huge Star,"Oh, you did it!",The ship tilts up and Artoo topples into the pit on top of,Leia and Lando are thrown into their seats as the Millennium,"Artoo, come back at once!  You"
"You may dispense with thepleasantries, Commander. I'm here","Lord Vader, this is an unexpectedpleasure. We're honored by your","Yes, sir.",Inform the commander that Lord,We're starting our approach.,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.
Perhaps I can find new ways to,"I assure you, Lord Vader, my men","You may dispense with thepleasantries, Commander. I'm here","Lord Vader, this is an unexpectedpleasure. We're honored by your","Yes, sir.",Inform the commander that Lord
The Emperor does not share youroptimistic appraisal of the,"I tell you, this station will be",Perhaps I can find new ways to,"I assure you, Lord Vader, my men","You may dispense with thepleasantries, Commander. I'm here","Lord Vader, this is an unexpectedpleasure. We're honored by your"
Then perhaps you can tell him when,But he asks the impossible. I need,The Emperor does not share youroptimistic appraisal of the,"I tell you, this station will be",Perhaps I can find new ways to,"I assure you, Lord Vader, my men"
"That is correct, Commander. And heis most displeased with your",The Emperor's coming here?,Then perhaps you can tell him when,But he asks the impossible. I need,The Emperor does not share youroptimistic appraisal of the,"I tell you, this station will be"
"I hope so, Commander, for yoursake. The Emperor is not as",We shall double our efforts.,"That is correct, Commander. And heis most displeased with your",The Emperor's coming here?,Then perhaps you can tell him when,But he asks the impossible. I need
The Death Star will be completed on schedule.,"Rise, my friend.","That's right, Artoo. We're going to the Dagobah system. I have a promise to keep... to an old friend.",I will.,Hurry. The Alliance should be,I'll meet you back at the fleet.
"Yes, my Master.","You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.",The Death Star will be completed on schedule.,"Rise, my friend.","That's right, Artoo. We're going to the Dagobah system. I have a promise to keep... to an old friend.",I will.
As you wish.,"Patience, my friend. In time hewill seek you out. And when he","Yes, my Master.","You have done well, Lord Vader. And now I sense you wish to continue your search for young Skywalker.",The Death Star will be completed on schedule.,"Rise, my friend."
"What is thy bidding, my Master?","All right, hang on.",Here we go again.,All set.,"Right. Chewie, let's see what thispiece of junk can do. Ready,","Come on, General, let's move."
What of the reports of the Rebel,Send the fleet to the far side ofEndor. There it will stay until,"What is thy bidding, my Master?","All right, hang on.",Here we go again.,All set.
"Yes, my Master.","It is of no concern. Soon the Rebellion will be crushed and young Skywalker will be one of us! Your work here is finished, my friend. Go out to the command ship and await my orders.",What of the reports of the Rebel,Send the fleet to the far side ofEndor. There it will stay until,"What is thy bidding, my Master?","All right, hang on."
Where is that shuttle going?,"It's your imagination, kid. Comeon. Let's keep a little optimism",I'm endangering the mission. I,I don't know.Fly casual.,"Now don't get jittery, Luke. Thereare a lot of command ships. Keepyour distance though, Chewie, butdon't look like you're trying to",Vader's on that ship.
Do they have a code clearance?,Parts and technical crew for the,"Shuttle Tydirium, what is your",Where is that shuttle going?,"It's your imagination, kid. Comeon. Let's keep a little optimism",I'm endangering the mission. I
No. Leave them to me. I will deal,Shall I hold them?,"It's an older code, sir, but itchecks out. I was about to clear",Do they have a code clearance?,Parts and technical crew for the,"Shuttle Tydirium, what is your"
 raising his gloved handto the two guards andchoking them with theForce ,Halt! The Emperor does not wish to,"Come on, let's get outta here.","Yes, sir.",Go get your ride and take her back,What is it?
A small Rebel force has penetrated,I told you to remain on the command ship., repeating Vader'scommand , raising his gloved handto the two guards andchoking them with theForce ,Halt! The Emperor does not wish to,"Come on, let's get outta here."
My son is with them.,"Yes, I know.",A small Rebel force has penetrated,I told you to remain on the command ship., repeating Vader'scommand , raising his gloved handto the two guards andchoking them with theForce 
"I have felt him, my Master.",Are you sure?,My son is with them.,"Yes, I know.",A small Rebel force has penetrated,I told you to remain on the command ship.
"They are clear, my Master.","Strange, that I have not. I wonder if your feelings on this matter are clear, Lord","I have felt him, my Master.",Are you sure?,My son is with them.,"Yes, I know."
He will come to me?,Then you must go to the Sanctuary,"They are clear, my Master.","Strange, that I have not. I wonder if your feelings on this matter are clear, Lord","I have felt him, my Master.",Are you sure?
As you wish.,I have foreseen it. His compassionfor you will be his undoing. He,He will come to me?,Then you must go to the Sanctuary,"They are clear, my Master.","Strange, that I have not. I wonder if your feelings on this matter are clear, Lord"
"Good work, Commander. Leave us.Conduct your search and bring his",He was armed only with this.,"This is a Rebel that surrendered to us. Although he denies it, I believe there may be more of them, and I request permission to conduct a further search of the area.",Hold me.,I'm sorry.,Ahhh...
The Emperor has been expecting you.,"Yes, my Lord.","Good work, Commander. Leave us.Conduct your search and bring his",He was armed only with this.,"This is a Rebel that surrendered to us. Although he denies it, I believe there may be more of them, and I request permission to conduct a further search of the area.",Hold me.
"So, you have accepted the truth.","I know, father.",The Emperor has been expecting you.,"Yes, my Lord.","Good work, Commander. Leave us.Conduct your search and bring his",He was armed only with this.
"Your skills are complete. Indeed,you are powerful, as the Emperor","I've accepted the truth that youwere once Anakin Skywalker, my","So, you have accepted the truth.","I know, father.",The Emperor has been expecting you.,"Yes, my Lord."
Obi-Wan once thought as you do.,Come with me.,"Your skills are complete. Indeed,you are powerful, as the Emperor","I've accepted the truth that youwere once Anakin Skywalker, my","So, you have accepted the truth.","I know, father."
You don't know the power of the,Obi-Wan once thought as you do.,Come with me.,"Your skills are complete. Indeed,you are powerful, as the Emperor","I've accepted the truth that youwere once Anakin Skywalker, my","So, you have accepted the truth."
If that is your destiny.,I will not turn...and you'll be,You don't know the power of the,Obi-Wan once thought as you do.,Come with me.,"Your skills are complete. Indeed,you are powerful, as the Emperor"
"It is too late for me, son. TheEmperor will show you the true","Search your feelings, father. You can't do this. I feel the conflict within you. Let go",If that is your destiny.,I will not turn...and you'll be,You don't know the power of the,Obi-Wan once thought as you do.
His lightsaber.,"Oh, no, my young Jedi. You willfind that it is you who aremistaken...about a great many","Guards, leave us.",You no longer need those.,"Welcome, young Skywalker. I have",I have decided that we shall stay
"It is pointless to resist, my son.",Your faith in your friends is,Your overconfidence is your,Yes...I assure you we are quite,Perhaps you refer to the imminent,You're wrong. Soon I'll be
Obi-Wan has taught you well.,"Good.Use your aggressivefeelings, boy!Let the hate flowthrough you.","Chewie!Get down here!She'swounded!No, wait....I got anidea.",Stay back.,Hands up! Stand up!,I know.
You are unwise to lower your,"I will not fight you, father.",Obi-Wan has taught you well.,"Good.Use your aggressivefeelings, boy!Let the hate flowthrough you.","Chewie!Get down here!She'swounded!No, wait....I got anidea.",Stay back.
There is no conflict.,"Your thoughts betray you, father. I feel the good in you...the conflict.",You are unwise to lower your,"I will not fight you, father.",Obi-Wan has taught you well.,"Good.Use your aggressivefeelings, boy!Let the hate flowthrough you."
"You underestimate the power of thedark side. If you will not fight,","You couldn't bring yourself to kill me before, and I don't believe you'll destroy me",There is no conflict.,"Your thoughts betray you, father. I feel the good in you...the conflict.",You are unwise to lower your,"I will not fight you, father."
"You cannot hide forever, Luke.",Throw me another charge.,"Yes, sir.",Send three squads to help. Open the back door.,"It's over, Commander. The Rebelshave been routed. They're fleeing","Now...come on, Han, old buddy."
"Give yourself to the dark side. It is the only way you can save your friends. Yes, your",I will not fight you.,"You cannot hide forever, Luke.",Throw me another charge.,"Yes, sir.",Send three squads to help. Open the back door.
Sister! So...you have a twinsister. Your feelings have now,"Give yourself to the dark side. It is the only way you can save your friends. Yes, your",I will not fight you.,"You cannot hide forever, Luke.",Throw me another charge.,"Yes, sir."
"Luke, help me take this mask off.",It's too late!,Intensify forward firepower!,Intensify the forward batteries. I don't want anything to get through.,"Sir, we've lost our bridge",We've got to give those fightersmore time. Concentrate all fire on
Nothing can stop that now. Just for once... let me look on you with my own eyes.,But you'll die.,"Luke, help me take this mask off.",It's too late!,Intensify forward firepower!,Intensify the forward batteries. I don't want anything to get through.
